#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
1,1JANATAMF,0,0,0,0,3.1,--,0,0,0
2,1STPRIMFMF,19.2,19.2,19,0,18.9,0.3,86,1.013,"52,936"
3,AAMRANET,23.7,23.8,23.7,0,23.5,0.2,43,0.424,"17,874"
4,AAMRATECH,0,0,0,0,15.2,--,0,0,0
5,ABB1STMF,3.1,3.2,3.1,0,3.2,-0.1,4,0.017,"5,400"
6,ABBANK,7.5,7.5,7.4,0,7.4,0.1,58,1.109,"149,545"
7,ACFL,17.6,17.9,17.5,0,17.7,-0.1,6,0.02,"1,162"
8,ACI,167,170.9,167,0,167.9,-0.9,173,2.36,"13,932"
9,ACIFORMULA,126,126,125,0,125.4,0.6,8,0.08,637
10,ACMELAB,74,74.4,74,0,74.1,-0.1,48,0.996,"13,466"
11,ACMEPL,14.2,14.4,14.1,0,14.2,0,162,6.946,"486,994"
12,ACTIVEFINE,10,10.6,9.9,0,9.8,0.2,295,1.468,"146,437"
13,ADNTEL,86.5,87.2,86.5,0,86.2,0.3,76,1.868,"21,457"
14,ADVENT,16.3,16.5,16.2,0,16.2,0.1,31,0.294,"17,928"
15,AFCAGRO,10.3,10.4,10,0,10,0.3,32,0.285,"28,197"
16,AFTABAUTO,34.4,34.6,34.4,0,34.2,0.2,22,0.322,"9,340"
17,AGNISYSL,26.8,27.1,26.6,0,26.6,0.2,153,4.098,"153,539"
18,AGRANINS,24.5,24.5,24.5,0,23.9,0.6,1,0,1
19,AIBL1STIMF,7,7.1,6.9,0,6.8,0.2,25,3.389,"489,852"
20,AIL,68.7,70,68.1,0,69.7,-1,739,20.037,"290,736"
21,AL-HAJTEX,148.3,149.1,145.5,0,145.4,2.9,154,5.643,"38,148"
22,ALARABANK,22.2,22.3,22.1,0,22.2,0,12,0.066,"2,947"
23,ALIF,7.2,7.3,7.1,0,7.1,0.1,35,0.383,"53,135"
